id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,AcceptabilityProperty,AcceptabilityProperty ⊑ WaterProperty,Skip,subject 'AcceptabilityProperty' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,DisjointClasses,Actuator,"DisjointClasses(Actuator, Sensor)",FN,pred has no DisjointClasses axiom on 'Actuator'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,SubClassOf,Actuator,Actuator ⊑ Device,Mismatch,pred AX2 differs: class 'Device' not aligned to 'Asset'
AX3-pred,pred,Class,SubClassOf,Actuator,Actuator ⊑ Asset,-,-
AX4-gold,gold,Class,SubClassOf,ChemicalProperty,ChemicalProperty ⊑ WaterProperty,TP,matched pred AX6
AX4-pred,pred,Class,SubClassOf,Chemical property,Chemical property ⊑ Physical property,-,-
AX5-gold,gold,Class,SubClassOf,Device,Device ⊑ ∀makesMeasurement.Measurement,Skip,subject 'Device' not in alignment table
AX5-pred,pred,-,-,-,(subject not in alignment table),-,-
AX6-gold,gold,Class,SubClassOf,FeatureOfInterest,FeatureOfInterest ⊑ ∀hasMeasurement.Measurement,Skip,subject 'FeatureOfInterest' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,SubClassOf,Measurement,Measurement ⊑ ∀hasTimestamp.datetime'>,FN,pred has no SubClassOf axiom on 'Water measurement'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,SubClassOf,Meter,Meter ⊑ Sensor,Skip,subject 'Meter' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,SubClassOf,Point,Point ⊑ Geometry,Skip,subject 'Point' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Sensor,Sensor ⊑ Device,Mismatch,pred AX14 differs: class 'Device' not aligned to 'Asset'
AX10-pred,pred,Class,SubClassOf,Sensor,Sensor ⊑ Asset,-,-
AX11-gold,gold,Class,SubClassOf,TimeBasedTariff,TimeBasedTariff ⊑ Tariff,Skip,subject 'TimeBasedTariff' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,SubClassOf,Water,Water ⊑ FeatureOfInterest,FN,pred has no SubClassOf axiom on 'Water'
AX12-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX13-gold,gold,Class,SubClassOf,Water,Water ⊑ ∀hasProperty.WaterProperty,FN,pred has no SubClassOf axiom on 'Water'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX14-gold,gold,Class,SubClassOf,WaterAsset,WaterAsset ⊑ FeatureOfInterest,FN,pred has no SubClassOf axiom on 'Asset'
AX14-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX15-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ Meter,Mismatch,pred AX25 differs: class 'Meter' not aligned to 'Sensor'
AX15-pred,pred,Class,SubClassOf,Water meter,Water meter ⊑ Sensor,-,-
AX16-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasFabricationNumber.⊤,FN,pred has no SubClassOf axiom on 'Water meter'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasFirmwareVersion.⊤,FN,pred has no SubClassOf axiom on 'Water meter'
AX17-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX18-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasHardwareVersion.⊤,FN,pred has no SubClassOf axiom on 'Water meter'
AX18-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX19-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasVersion.⊤,FN,pred has no SubClassOf axiom on 'Water meter'
AX19-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX20-gold,gold,ObjectProperty,Domain,appliesTo,∃appliesTo.⊤ ⊑ Tariff,Skip,subject 'appliesTo' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,ObjectProperty,Range,appliesTo,⊤ ⊑ ∀appliesTo.WaterMeter,Skip,subject 'appliesTo' not in alignment table
AX21-pred,pred,-,-,-,(subject not in alignment table),-,-
AX22-gold,gold,ObjectProperty,Domain,featureIsMeasuredByDevice,∃featureIsMeasuredByDevice.⊤ ⊑ FeatureOfInterest,Skip,subject 'featureIsMeasuredByDevice' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,ObjectProperty,Range,featureIsMeasuredByDevice,⊤ ⊑ ∀featureIsMeasuredByDevice.Device,Skip,subject 'featureIsMeasuredByDevice' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,ObjectProperty,Domain,hasBillingPeriod,∃hasBillingPeriod.⊤ ⊑ Tariff,Mismatch,pred AX29 differs: class 'Tariff' not aligned to 'Water meter'
AX24-pred,pred,ObjectProperty,Domain,has billing period,∃has billing period.⊤ ⊑ Water meter,-,-
AX25-gold,gold,ObjectProperty,Range,hasBillingPeriod,⊤ ⊑ ∀hasBillingPeriod.TemporalDuration,Mismatch,pred AX31 differs: class 'TemporalDuration' not aligned to 'Billing period'
AX25-pred,pred,ObjectProperty,Range,has billing period,⊤ ⊑ ∀has billing period.Billing period,-,-
AX26-gold,gold,ObjectProperty,Domain,hasDuration,∃hasDuration.⊤ ⊑ Tariff,Skip,subject 'hasDuration' not in alignment table
AX26-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,ObjectProperty,Range,hasDuration,⊤ ⊑ ∀hasDuration.TemporalDuration,Skip,subject 'hasDuration' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,ObjectProperty,InverseOf,hasKPI,hasKPI ≡ isKPIOf⁻,Skip,subject 'hasKPI' not in alignment table
AX28-pred,pred,-,-,-,(subject not in alignment table),-,-
AX29-gold,gold,ObjectProperty,Domain,hasPeriod,∃hasPeriod.⊤ ⊑ Tariff,Skip,subject 'hasPeriod' not in alignment table
AX29-pred,pred,-,-,-,(subject not in alignment table),-,-
AX30-gold,gold,ObjectProperty,Range,hasPeriod,⊤ ⊑ ∀hasPeriod.TemporalDuration,Skip,subject 'hasPeriod' not in alignment table
AX30-pred,pred,-,-,-,(subject not in alignment table),-,-
AX31-gold,gold,ObjectProperty,Domain,hasPhenomenonTime,∃hasPhenomenonTime.⊤ ⊑ Measurement,Skip,subject 'hasPhenomenonTime' not in alignment table
AX31-pred,pred,-,-,-,(subject not in alignment table),-,-
AX32-gold,gold,ObjectProperty,Range,hasPhenomenonTime,⊤ ⊑ ∀hasPhenomenonTime.TemporalEntity,Skip,subject 'hasPhenomenonTime' not in alignment table
AX32-pred,pred,-,-,-,(subject not in alignment table),-,-
AX33-gold,gold,ObjectProperty,InverseOf,isKPIOf,isKPIOf ≡ hasKPI⁻,Skip,subject 'isKPIOf' not in alignment table
AX33-pred,pred,-,-,-,(subject not in alignment table),-,-
AX34-gold,gold,ObjectProperty,InverseOf,makesMeasurement,makesMeasurement ≡ measurementMadeBy⁻,Mismatch,pred AX76 differs: inverse-property 'measurementMadeBy' not aligned to 'is measurement of'
AX34-pred,pred,ObjectProperty,InverseOf,provides measurement,provides measurement ≡ is measurement of⁻,-,-
AX35-gold,gold,ObjectProperty,InverseOf,measurementMadeBy,measurementMadeBy ≡ makesMeasurement⁻,Skip,subject 'measurementMadeBy' not in alignment table
AX35-pred,pred,-,-,-,(subject not in alignment table),-,-
AX36-gold,gold,DatatypeProperty,Domain,hasBillingDate,∃hasBillingDate.⊤ ⊑ Tariff,Skip,subject 'hasBillingDate' not in alignment table
AX36-pred,pred,-,-,-,(subject not in alignment table),-,-
AX37-gold,gold,DatatypeProperty,Range,hasBillingDate,hasBillingDate maps-to datetime'>,Skip,subject 'hasBillingDate' not in alignment table
AX37-pred,pred,-,-,-,(subject not in alignment table),-,-
AX38-gold,gold,DatatypeProperty,Range,hasFabricationNumber,hasFabricationNumber maps-to ⊤,Mismatch,pred AX99 differs: expr_type Top vs Datatype
