side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,Bordeaux,Wine,TP,,
gold,class,RedBordeaux,Bordeaux,FN,,
gold,class,RedBordeaux,RedWine,FN,,
gold,class,RedBordeaux,Wine,FN,,
gold,class,RedWine,Wine,FN,,
gold,class,WhiteBordeaux,Bordeaux,FN,,
gold,class,WhiteBordeaux,WhiteWine,FN,,
gold,class,WhiteBordeaux,Wine,FN,,
gold,class,WhiteWine,Wine,FN,,
gold,class,WineBody,WineDescriptor,FN,,
gold,class,WineBody,WineTaste,TP,,
gold,class,WineColor,WineDescriptor,FN,,
gold,class,WineFlavor,WineDescriptor,FN,,
gold,class,WineFlavor,WineTaste,FN,,
gold,class,WineSugar,WineDescriptor,FN,,
gold,class,WineSugar,WineTaste,FN,,
gold,class,WineTaste,WineDescriptor,FN,,
gold,class,Zinfandel,RedWine,FN,,
gold,class,Zinfandel,Wine,FN,,
pred,class,RedBordeaux,WineGrape,FP,,
pred,class,RedBordeaux,WineTaste,FP,,
pred,class,Region,WineTaste,FP,,
pred,class,WhiteWine,WineTaste,FP,,
pred,class,WineColor,WineTaste,FP,,
pred,class,WineGrape,WineTaste,FP,,
pred,class,,,untranslated,Bouquet,WineCharacteristic
pred,class,,,untranslated,CabernetFranc,BordeauxGrapes
pred,class,,,untranslated,CabernetFranc,GrapeVariety
pred,class,,,untranslated,CabernetFranc,WineCharacteristic
pred,class,,,untranslated,CabernetSauvignon,BordeauxGrapes
pred,class,,,untranslated,CabernetSauvignon,GrapeVariety
pred,class,,,untranslated,CabernetSauvignon,WineCharacteristic
pred,class,,,untranslated,Merlot,BordeauxGrapes
pred,class,,,untranslated,Merlot,GrapeVariety
pred,class,,,untranslated,Merlot,WineCharacteristic
gold,property,hasBody,hasWineDescriptor,FN,,
gold,property,hasColor,hasWineDescriptor,FN,,
gold,property,hasFlavor,hasWineDescriptor,FN,,
gold,property,hasSugar,hasWineDescriptor,FN,,
